,제목,관객수,날짜
0,범죄도시2,1269,2022.05.18.
1,탑건: 매버릭,823,2022.06.22.
2,아바타: 물의 길,1080,2022.12.14.
3,한산: 용의 출현,726,2022.07.27.
4,공조2: 인터내셔날,698,2022.09.07.
5,닥터 스트레인지: 대혼돈의 멀티버스,588,2022.05.04.
6,헌트,435,2022.08.10.
7,올빼미,332,2022.11.23.
8,쥬라기 월드: 도미니언,283,2022.06.01.
9,마녀(魔女) Part2. The Other One,280,2022.06.15.
