,제목,관객수,날짜
0,서울의 봄,1312,2023.11.22.
1,범죄도시3,1068,2023.05.31.
2,엘리멘탈,724,2023.06.14.
3,스즈메의 문단속,557,2024.01.10.
4,밀수,514,2023.07.26.
5,더 퍼스트 슬램덩크,488,2023.01.04.
6,가디언즈 오브 갤럭시: Volume 3,420,2023.05.03.
7,미션 임파서블: 데드 레코닝 PART ONE,402,2023.07.12.
8,콘크리트 유토피아,384,2023.08.09.
9,아바타: 물의 길,1080,2022.12.14.
