,제목,관객수,날짜
0,모가디슈,361,2022.09.07.
1,이터널스,305,2021.11.03.
2,블랙 위도우,296,2021.07.07.
3,분노의 질주: 더 얼티메이트,229,2021.05.19.
4,싱크홀,219,2021.08.11.
5,극장판 귀멸의 칼날: 무한열차편,218,2022.04.21.
6,베놈 2: 렛 데어 비 카니지,212,2021.10.13.
7,소울,204,2021.01.20.
8,크루엘라,198,2021.05.26.
9,샹치와 텐 링즈의 전설,174,2021.09.01.
